kind|key|style|attack_anim|launch_spotanim|travel_spotanim|impact_spotanim|projectile_model|projectile_anim|hit_delay|client_delay|proj_start_height|proj_end_height|proj_delay|proj_angle|proj_length_adjustment|proj_progress|proj_step_multiplier|note|projectile_count|alt_proj_start_height|alt_proj_end_height|alt_proj_delay|alt_proj_angle|alt_proj_length_adjustment|alt_proj_progress|alt_proj_step_multiplier|aux_travel_spotanim|aux_impact_spotanim|aux_projectile_model|aux_projectile_anim|impact_on_last_only|double_launch_spotanim|stance_idx|attack_key|launch_gfx_height|impact_gfx_height|impact_gfx_delay|impact_gfx_rotation|primitive_type|source_attachment|target_attachment|launch_attachment|impact_attachment|authority
item|35|slash|390|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:excalibur:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|35|slash|390|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:excalibur:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|35|slash|390|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:excalibur:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|35|stab|386|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:excalibur:attack:stance3|-|-|-|-|-|-|-|-|-|-|-|-|-|-|2|-|-|-|-|-|none|none|none|none|none|rsmod
item|78|ranged|-|25|16|-|3136|-|2|2|-|-|-|-|-|-|-|rsmod:ice_arrow:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|1110|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|667|slash|390|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:faladian_sword:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|667|slash|390|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:faladian_sword:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|667|slash|390|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:faladian_sword:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|667|stab|386|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:faladian_sword:attack:stance3|-|-|-|-|-|-|-|-|-|-|-|-|-|-|2|-|-|-|-|-|none|none|none|none|none|rsmod
item|746|slash|390|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:deathdagger:attack:stance3|-|-|-|-|-|-|-|-|-|-|-|-|-|-|2|-|-|-|-|-|none|none|none|none|none|rsmod
item|746|stab|386|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:deathdagger:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|746|stab|386|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:deathdagger:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|746|stab|386|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:deathdagger:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|747|slash|390|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:deathdaggerdone:attack:stance3|-|-|-|-|-|-|-|-|-|-|-|-|-|-|2|-|-|-|-|-|none|none|none|none|none|rsmod
item|747|stab|386|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:deathdaggerdone:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|747|stab|386|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:deathdaggerdone:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|747|stab|386|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:deathdaggerdone:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|767|ranged|7552|-|-|-|-|-|3|3|155|146|41|5|5|11|5|rsmod:phoenix_crossbow:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|767|ranged|7552|-|-|-|-|-|3|3|155|146|41|5|5|11|5|rsmod:phoenix_crossbow:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|767|ranged|7552|-|-|-|-|-|3|3|155|146|41|5|5|11|5|rsmod:phoenix_crossbow:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|772|crush|414|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:dramen_staff:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|772|crush|414|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:dramen_staff:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|772|crush|414|-|-|-|-|-|-|-|-|-|-|-|-|-|-|rsmod:dramen_staff:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|800|ranged|-|43|36|-|3148|372|2|2|163|146|32|15|0|11|5|rsmod:bronze_thrownaxe:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|800|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:bronze_thrownaxe:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|800|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:bronze_thrownaxe:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|800|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:bronze_thrownaxe:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|801|ranged|-|42|35|-|3148|372|2|2|163|146|32|15|0|11|5|rsmod:iron_thrownaxe:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|801|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:iron_thrownaxe:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|801|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:iron_thrownaxe:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|801|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:iron_thrownaxe:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|802|ranged|-|44|37|-|3148|372|2|2|163|146|32|15|0|11|5|rsmod:steel_thrownaxe:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|802|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:steel_thrownaxe:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|802|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:steel_thrownaxe:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|802|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:steel_thrownaxe:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
