stand_anim|attack_anim|note
0|1|curated:b237:unambiguous-symbol-family
17|18|curated:b237:unambiguous-symbol-family
27|25|curated:b237:unambiguous-symbol-family
35|30|curated:b237:unambiguous-symbol-family
51|49|curated:b237:unambiguous-symbol-family
66|64|curated:b237:unambiguous-symbol-family
90|80|curated:b237:unambiguous-symbol-family
96|94|curated:b237:unambiguous-symbol-family
101|99|curated:b237:unambiguous-symbol-family
112|110|curated:b237:unambiguous-symbol-family
130|128|curated:b237:unambiguous-symbol-family
145|143|curated:b237:unambiguous-symbol-family
155|153|curated:b237:unambiguous-symbol-family
166|163|curated:b237:unambiguous-symbol-family
171|169|curated:b237:unambiguous-symbol-family
187|185|curated:b237:unambiguous-symbol-family
222|220|curated:b237:unambiguous-symbol-family
226|227|curated:b237:unambiguous-symbol-family
242|240|curated:b237:unambiguous-symbol-family
252|250|curated:b237:unambiguous-symbol-family
257|255|curated:b237:unambiguous-symbol-family
262|260|curated:b237:unambiguous-symbol-family
277|275|curated:b237:unambiguous-symbol-family
286|284|curated:b237:unambiguous-symbol-family
291|289|curated:b237:unambiguous-symbol-family
296|294|curated:b237:unambiguous-symbol-family
301|299|curated:b237:unambiguous-symbol-family
306|304|curated:b237:unambiguous-symbol-family
317|315|curated:b237:unambiguous-symbol-family
337|338|curated:b237:unambiguous-symbol-family
346|347|curated:b237:unambiguous-symbol-family
357|359|curated:b237:unambiguous-symbol-family
808|422|curated:b237:modern-human-default
1008|1010|curated:b237:unambiguous-symbol-family
1027|1029|curated:b237:unambiguous-symbol-family
1039|1040|curated:b237:unambiguous-symbol-family
1045|1044|curated:b237:unambiguous-symbol-family
1086|1087|curated:b237:unambiguous-symbol-family
1092|1093|curated:b237:unambiguous-symbol-family
1159|284|curated:b237:unambiguous-symbol-family
1198|1199|curated:b237:unambiguous-symbol-family
1242|1245|curated:b237:unambiguous-symbol-family
1270|1273|curated:b237:unambiguous-symbol-family
1276|1277|curated:b237:unambiguous-symbol-family
1282|1283|curated:b237:unambiguous-symbol-family
1310|1312|curated:b237:unambiguous-symbol-family
1315|1312|curated:b237:unambiguous-symbol-family
1338|1341|curated:b237:unambiguous-symbol-family
1386|1383|curated:b237:unambiguous-symbol-family
1401|1402|curated:b237:unambiguous-symbol-family
1412|1413|curated:b237:unambiguous-symbol-family
1445|185|curated:b237:unambiguous-symbol-family
1474|284|curated:b237:unambiguous-symbol-family
1476|284|curated:b237:unambiguous-symbol-family
1480|284|curated:b237:unambiguous-symbol-family
1506|1507|curated:b237:unambiguous-symbol-family
1511|1512|curated:b237:unambiguous-symbol-family
1516|1517|curated:b237:unambiguous-symbol-family
1522|1523|curated:b237:unambiguous-symbol-family
1527|1528|curated:b237:unambiguous-symbol-family
1536|1537|curated:b237:unambiguous-symbol-family
1539|1540|curated:b237:unambiguous-symbol-family
1545|1546|curated:b237:unambiguous-symbol-family
1551|1552|curated:b237:unambiguous-symbol-family
1556|1557|curated:b237:unambiguous-symbol-family
1561|1562|curated:b237:unambiguous-symbol-family
1566|1567|curated:b237:unambiguous-symbol-family
1578|1582|curated:b237:unambiguous-symbol-family
1583|1586|curated:b237:unambiguous-symbol-family
1588|1592|curated:b237:unambiguous-symbol-family
1594|1595|curated:b237:unambiguous-symbol-family
1609|1612|curated:b237:unambiguous-symbol-family
1614|1616|curated:b237:unambiguous-symbol-family
1625|1626|curated:b237:unambiguous-symbol-family
1662|1665|curated:b237:unambiguous-symbol-family
1721|1741|curated:b237:unambiguous-symbol-family
1749|1750|curated:b237:unambiguous-symbol-family
1756|1760|curated:b237:unambiguous-symbol-family
1790|1789|curated:b237:unambiguous-symbol-family
1796|1793|curated:b237:unambiguous-symbol-family
1829|3847|curated:b237:unambiguous-symbol-family
1838|1840|curated:b237:unambiguous-symbol-family
1913|2917|curated:b237:unambiguous-symbol-family
1947|1948|curated:b237:unambiguous-symbol-family
2012|2015|curated:b237:unambiguous-symbol-family
2017|2019|curated:b237:unambiguous-symbol-family
2024|2025|curated:b237:unambiguous-symbol-family
2028|2029|curated:b237:unambiguous-symbol-family
2037|2039|curated:b237:unambiguous-symbol-family
2071|2070|curated:b237:unambiguous-symbol-family
2099|359|curated:b237:unambiguous-symbol-family
2151|99|curated:b237:unambiguous-symbol-family
2152|99|curated:b237:unambiguous-symbol-family
2159|315|curated:b237:unambiguous-symbol-family
2170|2167|curated:b237:unambiguous-symbol-family
2180|2181|curated:b237:unambiguous-symbol-family
2185|2187|curated:b237:unambiguous-symbol-family
2191|2192|curated:b237:unambiguous-symbol-family
2298|2299|curated:b237:unambiguous-symbol-family
2331|3968|curated:b237:unambiguous-symbol-family
2337|99|curated:b237:unambiguous-symbol-family
2364|2365|curated:b237:unambiguous-symbol-family
2370|2371|curated:b237:unambiguous-symbol-family
2395|2397|curated:b237:unambiguous-symbol-family
2604|2612|curated:b237:unambiguous-symbol-family
2618|2621|curated:b237:unambiguous-symbol-family
2624|2625|curated:b237:unambiguous-symbol-family
2636|2637|curated:b237:unambiguous-symbol-family
2642|2644|curated:b237:unambiguous-symbol-family
2650|2655|curated:b237:unambiguous-symbol-family
2704|2705|curated:b237:unambiguous-symbol-family
2730|2731|curated:b237:unambiguous-symbol-family
2740|2738|curated:b237:unambiguous-symbol-family
2774|2776|curated:b237:unambiguous-symbol-family
2803|2804|curated:b237:unambiguous-symbol-family
2858|2859|curated:b237:unambiguous-symbol-family
2867|2868|curated:b237:unambiguous-symbol-family
2931|2930|curated:b237:unambiguous-symbol-family
2958|163|curated:b237:unambiguous-symbol-family
3043|3045|curated:b237:unambiguous-symbol-family
3073|3075|curated:b237:unambiguous-symbol-family
3079|8840|curated:b237:unambiguous-symbol-family
3144|3146|curated:b237:unambiguous-symbol-family
3160|3163|curated:b237:unambiguous-symbol-family
3211|7311|curated:b237:unambiguous-symbol-family
3212|7311|curated:b237:unambiguous-symbol-family
3259|3262|curated:b237:unambiguous-symbol-family
3309|3312|curated:b237:unambiguous-symbol-family
3324|3326|curated:b237:unambiguous-symbol-family
3424|3428|curated:b237:unambiguous-symbol-family
3431|3433|curated:b237:unambiguous-symbol-family
3498|3501|curated:b237:unambiguous-symbol-family
3535|3538|curated:b237:unambiguous-symbol-family
3617|3618|curated:b237:unambiguous-symbol-family
3707|3709|curated:b237:unambiguous-symbol-family
3722|3723|curated:b237:unambiguous-symbol-family
3730|3731|curated:b237:unambiguous-symbol-family
3810|3812|curated:b237:unambiguous-symbol-family
3815|3816|curated:b237:unambiguous-symbol-family
3822|3823|curated:b237:unambiguous-symbol-family
3828|3829|curated:b237:unambiguous-symbol-family
3878|3882|curated:b237:unambiguous-symbol-family
3886|3891|curated:b237:unambiguous-symbol-family
3893|3897|curated:b237:unambiguous-symbol-family
3899|3901|curated:b237:unambiguous-symbol-family
3906|3908|curated:b237:unambiguous-symbol-family
3913|3915|curated:b237:unambiguous-symbol-family
3918|3920|curated:b237:unambiguous-symbol-family
3952|3960|curated:b237:unambiguous-symbol-family
3965|3966|curated:b237:unambiguous-symbol-family
3978|3980|curated:b237:unambiguous-symbol-family
3987|3985|curated:b237:unambiguous-symbol-family
3989|3991|curated:b237:unambiguous-symbol-family
4021|99|curated:b237:unambiguous-symbol-family
4037|4040|curated:b237:unambiguous-symbol-family
4231|4234|curated:b237:unambiguous-symbol-family
4264|4266|curated:b237:unambiguous-symbol-family
4269|4271|curated:b237:unambiguous-symbol-family
