bosses scraped: 170
redirects skipped: 0
distinct templates seen: 401

top templates by usage (count, name, sample bosses):
  2338  DropsLine                                 Abyssal Sire, Abyssal Sire, Abyssal Sire
   727  Subject changes                           Abyssal Sire, Abyssal Sire, Abyssal Sire
   547  DropsTableHead                            Abyssal Sire, Abyssal Sire, Abyssal Sire
   547  DropsTableBottom                          Abyssal Sire, Abyssal Sire, Abyssal Sire
   429  plink                                     Boss, Boss, Boss
   343  SCP                                       Boss, Boss, Boss
   191  GEP                                       Abyssal Sire, Abyssal Sire, Abyssal Sire
   185  Reflist                                   Abyssal Sire, Abyssal Sire, Ahrim the Blighted
   181  Infobox Monster                           Abyssal Sire, Agrith Naar, Agrith-Na-Na
   175  CiteTwitter                               Abyssal Sire, Abyssal Sire, Abyssal Sire
   153  Average drop value                        Abyssal Sire, Abyssal Sire, Abyssal Sire
   141  Subject changes header                    Abyssal Sire, Agrith Naar, Agrith-Na-Na
   141  Subject changes footer                    Abyssal Sire, Agrith Naar, Agrith-Na-Na
   126  CiteNPC                                   Agrith Naar, Agrith Naar, Agrith Naar
   101  NamedRef                                  Alchemical Hydra, Alchemical Hydra, Alchemical Hydra
   100  Bosses                                    Boss, Abyssal Sire, Ahrim the Blighted
    92  External                                  Boss, Agrith Naar, Agrith-Na-Na
    86  Coins                                     Abyssal Sire, Abyssal Sire, Abyssal Sire
    85  plinkp                                    Callisto, Callisto, Callisto
    81  DropsLineClue                             Abyssal Sire, Alchemical Hydra, Alchemical Hydra
    74  DropsLineReward                           Koschei the deathless, The Mimic, The Mimic
    72  LocLine                                   Abyssal Sire, Alchemical Hydra, Amoxliatl
    68  HasStrategy                               Abyssal Sire, Alchemical Hydra, Amoxliatl
    67  Combat Achievements list                  Abyssal Sire, Alchemical Hydra, Amoxliatl
    65  Sync                                      Abyssal Sire, Alchemical Hydra, Amoxliatl
    63  DropLogProject                            Abyssal Sire, Alchemical Hydra, Amoxliatl
    61  LocTableHead                              Abyssal Sire, Alchemical Hydra, Amoxliatl
    61  LocTableBottom                            Abyssal Sire, Alchemical Hydra, Amoxliatl
    61  CiteText                                  Agrith Naar, Akkha, Akkha
    59  Refn                                      Amoxliatl, Araxxor, Bryophyta
    58  Main                                      Akkha, Amoxliatl, Arrg
    56  Otheruses                                 Boss, Agrith Naar, Agrith-Na-Na
    52  Mmgsection                                Abyssal Sire, Alchemical Hydra, Amoxliatl
    52  HA                                        Abyssal Sire, Abyssal Sire, Abyssal Sire
    50  Brimstone rarity                          Abyssal Sire, Ahrim the Blighted, Alchemical Hydra
    47  CiteNews                                  Amoxliatl, Araxxor, Araxxor
    46  Instance                                  Agrith Naar, Alchemical Hydra, Amoxliatl
    46  Infobox NPC                               Ahrim the Blighted, Araxxor, Arzinian Being of Bordanzan
    43  NA                                        Boss, Boss, Boss
    42  WP                                        Akkha, Akkha, Ba-Ba
    39  RSL                                       Araxxor, Araxxor, Araxxor
    34  reflist                                   Agrith Naar, Akkha, Alchemical Hydra
    33  Hastranscript                             Ahrim the Blighted, Alchemical Hydra, Amoxliatl
    33  wp                                        Artio, Callisto, Callisto
    31  Switch infobox                            Ahrim the Blighted, Branda the Fire Queen, Damis
    31  mes                                       Barrows, Brutus, Brutus
    29  efn                                       Boss, Boss, Boss
    29  Plink                                     Boss, Boss, Boss
    27  plinkt                                    Black demon, Black demon, Black demon
    26  Map                                       Arzinian Being of Bordanzan, Barrows, Corporeal Beast
    26  WorldLine                                 Nex, Nex, Nex
    24  CiteReddit                                Araxxor, Araxxor, Dagannoth Supreme
    24  hastranscript                             Arrg, Arzinian Avatar of Magic, Arzinian Avatar of Ranging
    22  HasTask                                   Abyssal Sire, Alchemical Hydra, Amoxliatl
    21  overhead                                  Black golem, Chaos Fanatic, Chaos Fanatic
    19  RareDropTable                             Abyssal Sire, Alchemical Hydra, Araxxor
    18  clear                                     Arzinian Being of Bordanzan, Chaos Fanatic, Damis
    18  refn                                      Black demon, Black demon, Black demon
    18  No                                        Commander Zilyana, General Graardor, K'ril Tsutsaroth
    17  Demons                                    Abyssal Sire, Agrith Naar, Arzinian Being of Bordanzan
    16  Fairycode                                 Abyssal Sire, Barrows, Barrows
    16  Yes                                       Commander Zilyana, General Graardor, K'ril Tsutsaroth
    15  YamaUniquesOnlyValue                      Yama, Yama, Yama
    14  GemDropTable                              Amoxliatl, Arrg, Black Knight Titan
    14  Multi Infobox                             Araxxor, Doom of Mokhaiotl, Duke Sucellus
    12  Subject_changes                           Ahrim the Blighted, Black golem, Dharok the Wretched
    12  CiteDiscord                               Akkha, Black demon, Bryophyta
    12  Listen                                    Alchemical Hydra, Amoxliatl, Araxxor
    12  WildernessSlayerDropTable                 Artio, Black demon, Black demon
    12  Wilderness bosses                         Artio, Callisto, Calvar'ion
    11  Slayer monsters                           Abyssal Sire, Alchemical Hydra, Amoxliatl
    11  Prayer info                               Ahrim the Blighted, Amoxliatl, Dharok the Wretched
    11  Redirect                                  Ba-Ba, Dagannoth Supreme, Doom of Mokhaiotl
    11  CiteVideo                                 Grotesque Guardians, Kraken, Royal Titans
    11  #var:herb                                 Shellbane gryphon, Shellbane gryphon, Shellbane gryphon
     9  main                                      Abyssal Sire, Alchemical Hydra, Araxxor
     9  otheruses                                 Ahrim the Blighted, Blood Moon, Dharok the Wretched
     9  HerbDropTableInfo                         Arrg, Black demon, Black demon
     9  Synced switch                             Arzinian Avatar of Magic, Arzinian Avatar of Ranging, Arzinian Avatar of Strength
     9  Colour                                    Branda the Fire Queen, Chaos Elemental, Doom of Mokhaiotl
