content	cause	id	name	x	y	plane	region_x	region_y	extra
ground_item	static_world_spawn_source_empty	0	all static ground item spawns	0	0	0	0	0	export/load path exists, but approved source has zero rows
terrain	cache_region_terrain_file_missing	7506	mapsquare	1856	5248	0	29	82	
terrain	cache_region_terrain_file_missing	7761	mapsquare	1920	5184	0	30	81	
terrain	cache_region_terrain_file_missing	7762	mapsquare	1920	5248	0	30	82	
terrain	cache_region_terrain_file_missing	8016	mapsquare	1984	5120	0	31	80	
terrain	cache_region_terrain_file_missing	8018	mapsquare	1984	5248	0	31	82	
terrain	cache_region_terrain_file_missing	8272	mapsquare	2048	5120	0	32	80	
terrain	cache_region_terrain_file_missing	8273	mapsquare	2048	5184	0	32	81	
terrain	cache_region_terrain_file_missing	8274	mapsquare	2048	5248	0	32	82	
terrain	cache_region_terrain_file_missing	8529	mapsquare	2112	5184	0	33	81	
terrain	cache_region_terrain_file_missing	8531	mapsquare	2112	5312	0	33	83	
terrain	cache_region_terrain_file_missing	8785	mapsquare	2176	5184	0	34	81	
terrain	cache_region_terrain_file_missing	8786	mapsquare	2176	5248	0	34	82	
terrain	cache_region_terrain_file_missing	8787	mapsquare	2176	5312	0	34	83	
terrain	cache_region_terrain_file_missing	9032	mapsquare	2240	4608	0	35	72	
terrain	cache_region_terrain_file_missing	9040	mapsquare	2240	5120	0	35	80	
terrain	cache_region_terrain_file_missing	9041	mapsquare	2240	5184	0	35	81	
terrain	cache_region_terrain_file_missing	9042	mapsquare	2240	5248	0	35	82	
terrain	cache_region_terrain_file_missing	9296	mapsquare	2304	5120	0	36	80	
terrain	cache_region_terrain_file_missing	9298	mapsquare	2304	5248	0	36	82	
terrain	cache_region_terrain_file_missing	9553	mapsquare	2368	5184	0	37	81	
terrain	cache_region_terrain_file_missing	9554	mapsquare	2368	5248	0	37	82	
terrain	cache_region_terrain_file_missing	11090	mapsquare	2752	5248	0	43	82	
terrain	cache_region_terrain_file_missing	11091	mapsquare	2752	5312	0	43	83	
terrain	cache_region_terrain_file_missing	11092	mapsquare	2752	5376	0	43	84	
terrain	cache_region_terrain_file_missing	11342	mapsquare	2816	4992	0	44	78	
terrain	cache_region_terrain_file_missing	11344	mapsquare	2816	5120	0	44	80	
terrain	cache_region_terrain_file_missing	11348	mapsquare	2816	5376	0	44	84	
terrain	cache_region_terrain_file_missing	11598	mapsquare	2880	4992	0	45	78	
terrain	cache_region_terrain_file_missing	11600	mapsquare	2880	5120	0	45	80	
terrain	cache_region_terrain_file_missing	11604	mapsquare	2880	5376	0	45	84	
terrain	cache_region_terrain_file_missing	11856	mapsquare	2944	5120	0	46	80	
terrain	cache_region_terrain_file_missing	13209	mapsquare	3264	9792	0	51	153	
terrain	cache_region_terrain_file_missing	13211	mapsquare	3264	9920	0	51	155	
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1792	5120	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1792	5121	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1793	5120	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1793	5121	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1794	5120	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1794	5121	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1795	5120	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1795	5121	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1796	5120	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1796	5121	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1797	5120	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1797	5121	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1798	5120	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1798	5121	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1799	5120	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1799	5121	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1800	5120	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1800	5121	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1801	5120	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1801	5121	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1802	5120	0	28	80	source_plane=0
terrain	empty_terrain_no_floor_context	0	empty terrain tile	1802	5121	0	28	80	source_plane=0
