strategy pages cached: 58
distinct templates: 312

  7447  plink                                     Abyssal Sire/Strategies, Abyssal Sire/Strategies, Abyssal Sire/Strategies
   890  efn                                       Abyssal Sire/Strategies, Abyssal Sire/Strategies, Abyssal Sire/Strategies
   665  Plink                                     Amoxliatl/Strategies, Amoxliatl/Strategies, Amoxliatl/Strategies
   393  SCP                                       Abyssal Sire/Strategies, Abyssal Sire/Strategies, Abyssal Sire/Strategies
   303  Cheap food                                Abyssal Sire/Strategies, Abyssal Sire/Strategies, Abyssal Sire/Strategies
   174  Recommended equipment                     Abyssal Sire/Strategies, Abyssal Sire/Strategies, Abyssal Sire/Strategies
   171  Inventory                                 Abyssal Sire/Strategies, Alchemical Hydra/Strategies, Alchemical Hydra/Strategies
   170  plinkp                                    Alchemical Hydra/Strategies, Alchemical Hydra/Strategies, Alchemical Hydra/Strategies
   101  Rune pouch                                Abyssal Sire/Strategies, Alchemical Hydra/Strategies, Alchemical Hydra/Strategies
    95  GEP                                       Araxxor/Strategies, Araxxor/Strategies, Corporeal Beast/Strategies
    86  notelist                                  Abyssal Sire/Strategies, Abyssal Sire/Strategies, Abyssal Sire/Strategies
    81  Cheap prayer                              Alchemical Hydra/Strategies, Alchemical Hydra/Strategies, Alchemical Hydra/Strategies
    76  Equipment                                 Barrows/Strategies, Barrows/Strategies, Calvar'ion/Strategies
    74  Colour                                    Artio/Strategies, Callisto/Strategies, Calvar'ion/Strategies
    50  Notelist                                  Alchemical Hydra/Strategies, Alchemical Hydra/Strategies, Araxxor/Strategies
    45  Coins                                     Chaos Elemental/Strategies, Chaos Elemental/Strategies, Chaos Elemental/Strategies
    40  GEPrice                                   Calvar'ion/Strategies, Gemstone Crab/Strategies, Gemstone Crab/Strategies
    39  CiteTwitter                               Cerberus/Strategies, Cerberus/Strategies, Cerberus/Strategies
    32  overhead                                  Alchemical Hydra/Strategies, Araxxor/Strategies, Araxxor/Strategies
    31  Reflist                                   Brutus/Strategies, Cerberus/Strategies, Crazy archaeologist/Strategies
    28  clear                                     Abyssal Sire/Strategies, Cerberus/Strategies, Corporeal Beast/Strategies
    27  Yes                                       Doom of Mokhaiotl/Strategies, Doom of Mokhaiotl/Strategies, Doom of Mokhaiotl/Strategies
    26  Clear                                     Barrows/Strategies, Barrows/Strategies, Barrows/Strategies
    25  NA                                        Alchemical Hydra/Strategies, Cerberus/Strategies, Cerberus/Strategies
    21  Refn                                      Brutus/Strategies, Brutus/Strategies, Brutus/Strategies
